Date,House_index
01-01-1987,63.965
01-02-1987,64.425
01-03-1987,64.736
01-04-1987,65.135
01-05-1987,65.569
01-06-1987,66.076
01-07-1987,66.509
01-08-1987,66.938
01-09-1987,67.331
01-10-1987,67.74
01-11-1987,68.108
01-12-1987,68.507
01-01-1988,68.859
01-02-1988,69.263
01-03-1988,69.637
01-04-1988,69.975
01-05-1988,70.424
01-06-1988,70.886
01-07-1988,71.353
01-08-1988,71.798
01-09-1988,72.24
01-10-1988,72.637
01-11-1988,73.071
01-12-1988,73.465
01-01-1989,73.946
01-02-1989,74.382
01-03-1989,74.778
01-04-1989,75.085
01-05-1989,75.307
01-06-1989,75.48
01-07-1989,75.659
01-08-1989,75.835
01-09-1989,76.056
01-10-1989,76.286
01-11-1989,76.518
01-12-1989,76.704
01-01-1990,76.897
01-02-1990,77.052
01-03-1990,77.2
01-04-1990,77.278
01-05-1990,77.298
01-06-1990,77.258
01-07-1990,77.139
01-08-1990,77.007
01-09-1990,76.849
01-10-1990,76.702
01-11-1990,76.366
01-12-1990,76.183
01-01-1991,75.914
01-02-1991,75.735
01-03-1991,75.571
01-04-1991,75.565
01-05-1991,75.764
01-06-1991,75.993
01-07-1991,76.084
01-08-1991,76.109
01-09-1991,76.195
01-10-1991,76.073
01-11-1991,76.011
01-12-1991,76.057
01-01-1992,76.088
01-02-1992,76.157
01-03-1992,76.279
01-04-1992,76.347
01-05-1992,76.4
01-06-1992,76.334
01-07-1992,76.268
01-08-1992,76.233
01-09-1992,76.242
01-10-1992,76.38
01-11-1992,76.558
01-12-1992,76.676
01-01-1993,76.787
01-02-1993,76.84
01-03-1993,76.871
01-04-1993,76.939
01-05-1993,77.04
01-06-1993,77.244
01-07-1993,77.433
01-08-1993,77.615
01-09-1993,77.796
01-10-1993,77.945
01-11-1993,78.15
01-12-1993,78.329
01-01-1994,78.594
01-02-1994,78.73
01-03-1994,78.859
01-04-1994,78.99
01-05-1994,79.225
01-06-1994,79.426
01-07-1994,79.599
01-08-1994,79.784
01-09-1994,79.922
01-10-1994,80.068
01-11-1994,80.151
01-12-1994,80.298
01-01-1995,80.428
01-02-1995,80.53
01-03-1995,80.601
01-04-1995,80.664
01-05-1995,80.708
01-06-1995,80.789
01-07-1995,80.941
01-08-1995,81.114
01-09-1995,81.31
01-10-1995,81.486
01-11-1995,81.623
01-12-1995,81.741
01-01-1996,81.838
01-02-1996,81.957
01-03-1996,82.197
01-04-1996,82.424
01-05-1996,82.612
01-06-1996,82.756
01-07-1996,82.932
01-08-1996,83.091
01-09-1996,83.26
01-10-1996,83.381
01-11-1996,83.556
01-12-1996,83.725
01-01-1997,83.959
01-02-1997,84.184
01-03-1997,84.456
01-04-1997,84.626
01-05-1997,84.865
01-06-1997,85.084
01-07-1997,85.336
01-08-1997,85.577
01-09-1997,85.854
01-10-1997,86.15
01-11-1997,86.635
01-12-1997,87.095
01-01-1998,87.618
01-02-1998,88.007
01-03-1998,88.446
01-04-1998,88.882
01-05-1998,89.367
01-06-1998,89.847
01-07-1998,90.312
01-08-1998,90.788
01-09-1998,91.262
01-10-1998,91.721
01-11-1998,92.203
01-12-1998,92.715
01-01-1999,93.21
01-02-1999,93.673
01-03-1999,94.219
01-04-1999,94.787
01-05-1999,95.347
01-06-1999,95.979
01-07-1999,96.596
01-08-1999,97.224
01-09-1999,97.868
01-10-1999,98.529
01-11-1999,99.16
01-12-1999,99.85
01-01-2000,100.552
01-02-2000,101.339
01-03-2000,102.127
01-04-2000,102.922
01-05-2000,103.677
01-06-2000,104.423
01-07-2000,105.053
01-08-2000,105.767
01-09-2000,106.537
01-10-2000,107.38
01-11-2000,108.3
01-12-2000,109.138
01-01-2001,109.846
01-02-2001,110.499
01-03-2001,111.107
01-04-2001,111.65
01-05-2001,112.162
01-06-2001,112.795
01-07-2001,113.491
01-08-2001,114.167
01-09-2001,114.811
01-10-2001,115.308
01-11-2001,115.854
01-12-2001,116.452
01-01-2002,117.143
01-02-2002,117.845
01-03-2002,118.688
01-04-2002,119.611
01-05-2002,120.724
01-06-2002,121.812
01-07-2002,122.887
01-08-2002,123.83
01-09-2002,124.778
01-10-2002,125.733
01-11-2002,126.667
01-12-2002,127.621
01-01-2003,128.46
01-02-2003,129.355
01-03-2003,130.147
01-04-2003,130.884
01-05-2003,131.734
01-06-2003,132.649
01-07-2003,133.775
01-08-2003,134.967
01-09-2003,136.293
01-10-2003,137.532
01-11-2003,138.794
01-12-2003,140.18
01-01-2004,141.647
01-02-2004,143.192
01-03-2004,145.059
01-04-2004,146.592
01-05-2004,148.183
01-06-2004,149.847
01-07-2004,151.335
01-08-2004,152.631
01-09-2004,154.177
01-10-2004,155.75
01-11-2004,157.528
01-12-2004,159.33
01-01-2005,161.288
01-02-2005,163.344
01-03-2005,165.812
01-04-2005,167.501
01-05-2005,169.351
01-06-2005,171.19
01-07-2005,172.859
01-08-2005,174.442
01-09-2005,176.437
01-10-2005,178.028
01-11-2005,179.681
01-12-2005,180.91
01-01-2006,182.32
01-02-2006,183.286
01-03-2006,184.363
01-04-2006,184.329
01-05-2006,184.156
01-06-2006,183.507
01-07-2006,183.069
01-08-2006,182.596
01-09-2006,182.801
01-10-2006,183.202
01-11-2006,183.612
01-12-2006,184.141
01-01-2007,184.519
01-02-2007,184.599
01-03-2007,184.15
01-04-2007,183.009
01-05-2007,181.601
01-06-2007,180.256
01-07-2007,179.114
01-08-2007,178.121
01-09-2007,177.562
01-10-2007,176.627
01-11-2007,175.148
01-12-2007,174.342
01-01-2008,173.133
01-02-2008,171.541
01-03-2008,170.053
01-04-2008,168.339
01-05-2008,166.661
01-06-2008,165.02
01-07-2008,163.571
01-08-2008,161.993
01-09-2008,160.311
01-10-2008,158.327
01-11-2008,156.14
01-12-2008,153.616
01-01-2009,151.504
01-02-2009,150.012
01-03-2009,148.659
01-04-2009,147.949
01-05-2009,147.695
01-06-2009,148.088
01-07-2009,148.407
01-08-2009,148.273
01-09-2009,148.02
01-10-2009,147.847
01-11-2009,148.134
01-12-2009,147.93
01-01-2010,147.394
01-02-2010,145.631
01-03-2010,145.858
01-04-2010,146.4
01-05-2010,146.39
01-06-2010,145.717
01-07-2010,144.986
01-08-2010,143.909
01-09-2010,143.012
01-10-2010,142.524
01-11-2010,142.17
01-12-2010,142.061
01-01-2011,141.527
01-02-2011,140.356
01-03-2011,139.985
01-04-2011,140.008
01-05-2011,139.9
01-06-2011,139.858
01-07-2011,139.727
01-08-2011,139.306
01-09-2011,138.666
01-10-2011,137.951
01-11-2011,137.152
01-12-2011,136.674
01-01-2012,136.607
01-02-2012,136.531
01-03-2012,137.905
01-04-2012,139.155
01-05-2012,140.155
01-06-2012,141.029
01-07-2012,141.668
01-08-2012,142.278
01-09-2012,142.908
01-10-2012,143.602
01-11-2012,144.587
01-12-2012,145.505
01-01-2013,146.84
01-02-2013,147.779
01-03-2013,149.962
01-04-2013,151.524
01-05-2013,152.86
01-06-2013,154.204
01-07-2013,155.611
01-08-2013,156.975
01-09-2013,158.234
01-10-2013,159.245
01-11-2013,160.074
01-12-2013,160.999
01-01-2014,161.962
01-02-2014,162.531
01-03-2014,163.101
01-04-2014,163.415
01-05-2014,163.683
01-06-2014,164.067
01-07-2014,164.576
01-08-2014,165.216
01-09-2014,165.91
01-10-2014,166.648
01-11-2014,167.342
01-12-2014,168.07
01-01-2015,168.699
01-02-2015,169.157
01-03-2015,169.838
01-04-2015,170.339
01-05-2015,170.914
01-06-2015,171.474
01-07-2015,172.126
01-08-2015,172.933
01-09-2015,173.836
01-10-2015,174.809
01-11-2015,175.76
01-12-2015,176.574
01-01-2016,177.337
01-02-2016,177.676
01-03-2016,178.22
01-04-2016,178.842
01-05-2016,179.5
01-06-2016,180.123
01-07-2016,180.854
01-08-2016,181.856
01-09-2016,182.836
01-10-2016,183.771
01-11-2016,184.772
01-12-2016,185.727
01-01-2017,186.851
01-02-2017,187.348
01-03-2017,188.107
01-04-2017,188.9
01-05-2017,189.789
01-06-2017,190.61
01-07-2017,191.494
01-08-2017,192.688
01-09-2017,193.766
01-10-2017,194.79
01-11-2017,195.907
01-12-2017,197.097
01-01-2018,198.265
01-02-2018,199.206
01-03-2018,200.155
01-04-2018,201.007
01-05-2018,201.781
01-06-2018,202.468
01-07-2018,203.001
01-08-2018,203.727
01-09-2018,204.334
01-10-2018,205.03
01-11-2018,205.534
01-12-2018,205.953
01-01-2019,206.367
01-02-2019,206.763
01-03-2019,207.404
01-04-2019,208.134
01-05-2019,208.772
01-06-2019,209.115
01-07-2019,209.5
01-08-2019,210.186
01-09-2019,210.879
01-10-2019,211.593
01-11-2019,212.509
01-12-2019,213.501
01-01-2020,214.552
01-02-2020,215.544
01-03-2020,216.79
01-04-2020,217.656
01-05-2020,217.872
01-06-2020,218.29
01-07-2020,219.65
01-08-2020,222.432
01-09-2020,225.608
01-10-2020,229.339
01-11-2020,232.673
01-12-2020,235.627
